id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo,sku,standard_sku,standard_sku_2,sku_qty,sku_unit,flag_missing_sku,flag_zero_or_negative,flag_size_outlier,flag_iqr_outlier,unit_price,lier,flag_unit_price_outlier,flag_any_out,unit_price_index,department,category,subcategory,category_median_unit_price_x,category_price_index,category_median_unit_price_y,category_median_unit_price,product_price_segment,category_premium_ceiling,price_gap_to_premium,flag_money_on_table,uplift_factor,should_be_price_index,should_be_unit_price,should_be_price,price_uplift_potential
49834,6161100912830,Tropical Heat Spices Pilau Masala Whol100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Masala and Mix",100g,pieces,1.0,1.0,10,285,KES,KES285.00,285.0,lowStock,4.0,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,100G,100G,100G,100.0,G,False,False,False,False,2.85,False,,False,183.8709677419355,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,123.91304347826089,2.3,2.3,Premium,608.6956521739131,484.78260869565224,False,0.0,123.91304347826089,2.85,285.0,0.0
32190,6161100913899,Tropical Heat Spices Oregano Leaves 20G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",20g,pieces,1.0,1.0,4,80,KES,KES80.00,80.0,inStock,,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,True,20G,20G,20G,20.0,G,False,False,False,False,4.0,False,,False,258.06451612903226,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,173.91304347826087,2.3,2.3,Premium,608.6956521739131,434.78260869565224,False,0.0,173.91304347826087,4.0,80.0,0.0
32063,6161100911482,Tropical Heat Spices Chilli Flakes 75G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",75g,pieces,1.0,1.0,10,145,KES,KES145.00,145.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True,75G,75G,75G,75.0,G,False,False,False,False,1.9333333333333333,False,,False,124.73118279569893,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,84.05797101449276,2.3,2.3,Value,608.6956521739131,524.6376811594204,True,0.4,293.91304347826093,6.760000000000001,507.00000000000006,362.00000000000006
32048,6161100911307,Tropical Heat Spices Cardamoms Ground 100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1.0,1.0,10,490,KES,KES490.00,490.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,100G,100G,100G,100.0,G,False,False,False,False,4.9,False,,False,316.12903225806457,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,213.0434782608696,2.3,2.3,Premium,608.6956521739131,395.6521739130435,False,0.0,213.0434782608696,4.9,490.00000000000006,5.684341886080802e-14
32114,6161100913080,Tropical Heat  Turmeric Ground 45G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1.0,1.0,10,95,KES,KES95.00,95.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,45G,45G,45G,45.0,G,False,False,False,False,2.111111111111111,False,,False,136.20071684587813,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,91.78743961352657,2.3,2.3,Value,608.6956521739131,516.9082125603866,True,0.4,298.55072463768124,6.866666666666669,309.0000000000001,214.0000000000001
32054,6161100911406,Tropical Heat Spices Cayenne Pepper 100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1.0,1.0,10,190,KES,KES190.00,190.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,100G,100G,100G,100.0,G,False,False,False,False,1.9,False,,False,122.5806451612903,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,82.6086956521739,2.3,2.3,Value,608.6956521739131,526.0869565217392,True,0.4,293.0434782608696,6.740000000000001,674.0000000000001,484.0000000000001
141528,6161101141994,Naturalli Himalayan Pink Fine Salt 150Gms,FOOD,DRY,NATURALLI,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Salt",150g,pieces,1.0,1.0,10,99,KES,KES99.00,99.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True,,150G,150G,150.0,G,False,False,False,False,0.66,False,,False,42.58064516129033,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,28.695652173913043,2.3,2.3,Value,608.6956521739131,580.0000000000001,True,0.4,260.6956521739131,5.996000000000002,899.4000000000003,800.4000000000003
210961,6161115173837,Royco Pilau Masala Spice 100g,FOOD,DRY,ROYCO,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1.0,1.0,3,309,KES,KES309.00,309.0,inStock,,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,100G,100G,100G,100.0,G,False,False,False,False,3.09,False,,False,199.3548387096774,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,134.34782608695653,2.3,2.3,Premium,608.6956521739131,474.3478260869566,False,0.0,134.34782608695653,3.09,309.0,0.0
32040,6161100911192,Tropical Heat  Black Pepper Ground 45G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1.0,1.0,10,195,KES,KES195.00,195.0,lowStock,8.0,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,45G,45G,45G,45.0,G,False,False,False,False,4.333333333333333,False,,False,279.5698924731183,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,188.40579710144928,2.3,2.3,Premium,608.6956521739131,420.28985507246387,False,0.0,188.40579710144928,4.333333333333333,195.0,0.0
32095,6161100912380,Tropical Heat  Ginger Ground 45G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1.0,1.0,10,115,KES,KES115.00,115.0,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False,45G,45G,45G,45.0,G,False,False,False,False,2.5555555555555554,False,,False,164.87455197132616,Food Cupboard,Cooking Ingredients,"Herbs, Spices & Seasoning",2.3,111.11111111111111,2.3,2.3,Upper-Mainstream,608.6956521739131,497.58454106280203,True,0.8,509.1787439613528,11.711111111111112,527.0,412.0
