id,ean,name,type,food_type,brand,product_origin,supplier,top_category,top_category_id,category_path,size,unit_of_measure,increment_by,min_order,max_order,price,currency,formatted_price,min_buying_value,stock_status,stock_qty,is_available,availability_max,seller,seller_type,shipping,is_marketplace,is_express,is_bulk,is_scalable,is_fbc,preorder,has_promo
49834,6161100912830,Tropical Heat Spices Pilau Masala Whol100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Masala and Mix",100g,pieces,1,1,10,285,KES,KES285.00,285.00,lowStock,4,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32190,6161100913899,Tropical Heat Spices Oregano Leaves 20G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",20g,pieces,1,1,4,80,KES,KES80.00,80.00,inStock,,True,4,Carrefour,main,SLOTTED,False,False,False,False,False,False,True
32063,6161100911482,Tropical Heat Spices Chilli Flakes 75G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",75g,pieces,1,1,10,145,KES,KES145.00,145.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True
32048,6161100911307,Tropical Heat Spices Cardamoms Ground 100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1,1,10,490,KES,KES490.00,490.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32114,6161100913080,Tropical Heat  Turmeric Ground 45G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1,1,10,95,KES,KES95.00,95.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32054,6161100911406,Tropical Heat Spices Cayenne Pepper 100G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1,1,10,190,KES,KES190.00,190.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
141528,6161101141994,Naturalli Himalayan Pink Fine Salt 150Gms,FOOD,DRY,NATURALLI,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Salt",150g,pieces,1,1,10,99,KES,KES99.00,99.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True
210961,6161115173837,Royco Pilau Masala Spice 100g,FOOD,DRY,ROYCO,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1,1,3,309,KES,KES309.00,309.00,inStock,,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32040,6161100911192,Tropical Heat  Black Pepper Ground 45G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1,1,10,195,KES,KES195.00,195.00,lowStock,8,True,8,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32095,6161100912380,Tropical Heat  Ginger Ground 45G,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1,1,10,115,KES,KES115.00,115.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
32084,6161100912014,Tropical Heat Cumin Spice 45g,FOOD,DRY,TROPICAL HEAT,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",45G,pieces,1,1,10,130,KES,KES130.00,130.00,lowStock,1,True,1,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
210956,6161115173844,Royco Curry Powder 100g,FOOD,DRY,ROYCO,Kenya,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",100g,pieces,1,1,3,170,KES,KES170.00,170.00,inStock,,True,3,Carrefour,main,SLOTTED,False,False,False,False,False,False,False
210945,6161115173752,Royco Wet and Dry Spice 50g,FOOD,DRY,ROYCO,South Africa,Carrefour,Food Cupboard,FKEN1700000,"Food Cupboard/Cooking Ingredients/Herbs, Spices & Seasoning/Spices",50g,pieces,1,1,10,130,KES,KES130.00,130.00,inStock,,True,10,Carrefour,main,SLOTTED,False,False,False,False,False,False,True
